"Ruta","Ascensos"
"101","104838"
"102","102100"
"201","97428"
"202","105490"
"301","104183"
"302","104046"
"401","270084"
"402","249042"
"501","70745"
"601","119884"
"801","89684"
"901","158306"
"902","58099"
"1001","127872"
"1002","133106"
"1101","191466"
"1201","123614"
"1301","70848"
"1401","93374"
"1402","77161"
"1501","158123"
"1502","94032"
"1601","63702"
"1602","62123"
"1701","206837"
"1702","195119"
"1703","358844"
"1801","110833"
"1802","109259"
"1803","6941"
"1901","138655"
"1902","129716"
"2201","19349"
